"V1","V2","V3","V4","V5","V6","V7"
"TRALLM8BGR1C0YZO296I",-0.6416995687395,-0.18567864257164,0.029393124918939,-1.80772916803781,-0.297595479639087,2.51631856132429
"02ZT90ZJLQ6PF3NCQNNY",1.23637214324231,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"OQ9ZXEE1WCHQGHEPFT22",-0.516494787940712,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"RBNJI6CY03R5XB6PR6KZ",-0.0156756647455634,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"035A9H195MHPEQTNW200",-0.328687616742531,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"P5E51AWHM7HL7POL7HZK",0.610348239248373,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"RJ5DAJ0CJACZVO2M5UUQ",3.11444385522412,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"MD8X7AJGC6PUXH8IF7B4",-0.391290007141925,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"IN3H03HJGM191U1509TJ",-0.0156756647455634,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
"8SLEWSFOAMCTW5YMY365",-0.391290007141925,-0.18567864257164,-0.239067826339875,0.407336432210637,-0.297595479639087,-0.382228893402316
